Account Name,Account Type,Account Code,Description,Currency Code,Parent Account
Cash on Hand,Cash,1001,Physical cash held at office and fuel stations,BDT,
UCB Bank,Bank,1010,United Commercial Bank current operating account,BDT,
NCC Bank,Bank,1011,NCC Bank current operating account,BDT,
SIBL Bank,Bank,1012,SIBL Bank current operating account,BDT,
Accounts Receivable,Accounts Receivable,1100,Money owed by customers from credit sales,BDT,
Inventory Asset,Other Current Asset,1200,Value of all stock on hand (fuel - feed - medicines),BDT,
Land,Fixed Asset,1500,Land owned by Shetue Group,BDT,
Buildings,Fixed Asset,1510,Structures and buildings owned by Shetue Group,BDT,
Machinery,Fixed Asset,1520,Industrial equipment at Feed Mills - LPG and CNG stations,BDT,
Vehicles,Fixed Asset,1530,Company-owned transport and delivery vehicles,BDT,
Equipment,Fixed Asset,1540,Computers - POS terminals and office equipment,BDT,
Accounts Payable,Accounts Payable,2000,Amounts owed to suppliers and vendors,BDT,
VAT Payable,Other Current Liability,2100,VAT collected from customers to be remitted to NBR,BDT,
NCC CC Loan,Long Term Liability,2500,Credit and loan facility from NCC Bank,BDT,
UCB Loan,Long Term Liability,2510,Term loan from United Commercial Bank,BDT,
SIBL Loan,Long Term Liability,2520,Loan facility from SIBL Bank,BDT,
IDLC Finance,Long Term Liability,2530,Lease or finance facility from IDLC Finance,BDT,
Owner Capital,Equity,3000,Capital invested by Md Jahirul Huq,BDT,
Retained Earnings,Equity,3100,Accumulated profits retained in the business,BDT,
Fuel Sales,Income,4001,Revenue from diesel - octane - petrol and lubricants at Filling Station,BDT,
CNG Sales,Income,4002,Revenue from compressed natural gas sales at CNG station,BDT,
LPG Sales,Income,4003,Revenue from LPG gas sales at LPG Auto Gas division,BDT,
Feed Sales,Income,4004,Revenue from fish feed products at Feed Mills division,BDT,
Pharmacy Sales,Income,4005,Revenue from medicines and pharmaceutical sales at Pharmacy,BDT,
Tech Income,Income,4006,Revenue from IT services - internet and software at Shetue Tech,BDT,
Brick Sales,Income,4007,Revenue from brick and construction material sales,BDT,
Fuel Purchase,Cost of Goods Sold,5001,Cost of diesel - octane and petrol purchased for Filling Station,BDT,
Gas Purchase,Cost of Goods Sold,5002,Cost of CNG gas purchased from supplier for CNG station,BDT,
LPG Purchase,Cost of Goods Sold,5003,Cost of LPG gas cylinders purchased for LPG Auto Gas,BDT,
Feed Raw Materials,Cost of Goods Sold,5004,Raw material cost for fish feed production at Feed Mills,BDT,
Medicine Purchase,Cost of Goods Sold,5005,Cost of medicines and medical supplies for Pharmacy,BDT,
Salary Expense,Expense,6001,Monthly wages and salaries for all staff across all divisions,BDT,
Electricity,Expense,6002,Utility electricity bills for all locations and stations,BDT,
Transport,Expense,6003,Delivery and logistics costs for goods movement,BDT,
Repair and Maintenance,Expense,6004,Equipment and vehicle maintenance costs,BDT,
Office Expense,Expense,6005,Stationery - printing and general office running costs,BDT,
Internet Expense,Expense,6006,Monthly internet and data charges,BDT,
Bank Charges,Expense,6007,Bank fees - transaction charges and service fees from all banks,BDT,
Loan Interest,Expense,6008,Interest payments on all bank loans and IDLC finance facility,BDT,
Misc Expense,Expense,6009,Any expense not fitting another specific category,BDT,
